Año;Tipo territorio;Código territorio;Territorio;Edad;Nacionalidad;Sexo;Valor;Estado dato
2022;Municipios;0822;Manzanares el Real;Total;Total;Total;9279;
2022;Municipios;0838;Meco;Total;Total;Total;15199;
2022;Municipios;0843;Mejorada del Campo;Total;Total;Total;23776;
2022;Municipios;0856;Miraflores de la Sierra;Total;Total;Total;6707;
2022;Municipios;0869;Molar (El);Total;Total;Total;9437;
2022;Municipios;0875;Molinos (Los);Total;Total;Total;4756;
2022;Municipios;0881;Montejo de la Sierra;Total;Total;Total;373;
2022;Municipios;0894;Moraleja de Enmedio;Total;Total;Total;5423;
2022;Municipios;0908;Moralzarzal;Total;Total;Total;13900;
2022;Municipios;0915;Morata de Tajuña;Total;Total;Total;7958;
2022;Municipios;0920;Móstoles;Total;Total;Total;208532;
2022;Municipios;0936;Navacerrada;Total;Total;Total;3234;
2022;Municipios;0941;Navalafuente;Total;Total;Total;1605;
2022;Municipios;0954;Navalagamella;Total;Total;Total;2844;
2022;Municipios;0967;Navalcarnero;Total;Total;Total;31359;
2022;Municipios;0973;Navarredonda y San Mamés;Total;Total;Total;143;
2022;Municipios;0992;Navas del Rey;Total;Total;Total;3126;
2022;Municipios;1006;Nuevo Baztán;Total;Total;Total;6890;
2022;Municipios;1013;Olmeda de las Fuentes;Total;Total;Total;380;
2022;Municipios;1028;Orusco de Tajuña;Total;Total;Total;1342;
2022;Municipios;1049;Paracuellos de Jarama;Total;Total;Total;26637;
2022;Municipios;1065;Parla;Total;Total;Total;130218;
2022;Municipios;1071;Patones;Total;Total;Total;533;
2022;Municipios;1087;Pedrezuela;Total;Total;Total;6295;
2022;Municipios;1090;Pelayos de la Presa;Total;Total;Total;2873;
2022;Municipios;1104;Perales de Tajuña;Total;Total;Total;3107;
2022;Municipios;1111;Pezuela de las Torres;Total;Total;Total;933;
2022;Municipios;1126;Pinilla del Valle;Total;Total;Total;198;
2022;Municipios;1132;Pinto;Total;Total;Total;54149;
2022;Municipios;1147;Piñuécar-Gandullas;Total;Total;Total;184;
2022;Municipios;1150;Pozuelo de Alarcón;Total;Total;Total;87633;
2022;Municipios;1163;Pozuelo del Rey;Total;Total;Total;1216;
2022;Municipios;1179;Prádena del Rincón;Total;Total;Total;146;
2022;Municipios;1185;Puebla de la Sierra;Total;Total;Total;85;
2022;Municipios;9020;Puentes Viejas;Total;Total;Total;699;
2022;Municipios;1198;Quijorna;Total;Total;Total;3683;
2022;Municipios;1202;Rascafría;Total;Total;Total;1750;
2022;Municipios;1219;Redueña;Total;Total;Total;298;
2022;Municipios;1224;Ribatejada;Total;Total;Total;874;
2022;Municipios;1230;Rivas-Vaciamadrid;Total;Total;Total;96659;
2022;Municipios;1245;Robledillo de la Jara;Total;Total;Total;114;
2022;Municipios;1258;Robledo de Chavela;Total;Total;Total;4619;
2022;Municipios;1261;Robregordo;Total;Total;Total;70;
2022;Municipios;1277;Rozas de Madrid (Las);Total;Total;Total;96209;
2022;Municipios;1283;Rozas de Puerto Real;Total;Total;Total;587;
2022;Municipios;1296;San Agustín del Guadalix;Total;Total;Total;13713;
2022;Municipios;1300;San Fernando de Henares;Total;Total;Total;38941;
