year,date,territory_type,territory,sex,nationality,age_group,age_min,age_max,population
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,total,extranjera,De 5-9 años,,,43644
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,total,extranjera,De 50-54 años,,,63734
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,total,extranjera,De 55-59 años,,,42888
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,total,extranjera,De 60-64 años,,,29448
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,total,extranjera,De 65-69 años,,,17779
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,total,extranjera,De 70-74 años,,,10225
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,total,extranjera,De 75-79 años,,,5442
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,total,extranjera,De 80-84 años,,,3299
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,total,extranjera,De 85-89 años,,,1561
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,total,extranjera,De 90-94 años,,,616
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,total,extranjera,De 95-99 años,,,126
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,total,extranjera,Total,,,923113
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,total,,De 0-4 años,,,290717
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,total,,De 10-14 años,,,362042
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,total,,De 100 y más años,,,1877
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,total,,De 15-19 años,,,343411
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,total,,De 20-24 años,,,343456
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,total,,De 25-29 años,,,387486
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,total,,De 30-34 años,,,425055
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,total,,De 35-39 años,,,488400
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,total,,De 40-44 años,,,576218
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,total,,De 45-49 años,,,580703
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,total,,De 5-9 años,,,338921
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,total,,De 50-54 años,,,520576
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,total,,De 55-59 años,,,464573
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,total,,De 60-64 años,,,394383
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,total,,De 65-69 años,,,322002
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,total,,De 70-74 años,,,291796
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,total,,De 75-79 años,,,231818
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,total,,De 80-84 años,,,166782
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,total,,De 85-89 años,,,123419
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,total,,De 90-94 años,,,57809
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,total,,De 95-99 años,,,15196
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,total,,Total,,,6726640
2021,2021-01-01,Municipios,Acebeda (La),hombres,espanola,De 0-4 años,,,0
2021,2021-01-01,Municipios,Acebeda (La),hombres,espanola,De 10-14 años,,,1
2021,2021-01-01,Municipios,Acebeda (La),hombres,espanola,De 100 y más años,,,0
2021,2021-01-01,Municipios,Acebeda (La),hombres,espanola,De 15-19 años,,,0
2021,2021-01-01,Municipios,Acebeda (La),hombres,espanola,De 20-24 años,,,1
2021,2021-01-01,Municipios,Acebeda (La),hombres,espanola,De 25-29 años,,,0
